name,popdens
"Hall County, Georgia",457.4652
"Hancock County, Georgia",19.98345
"Haralson County, Georgia",101.997
"Harris County, Georgia",69.03678
"Hart County, Georgia",108.4926
"Heard County, Georgia",39.97566
"Henry County, Georgia",633.0488
"Houston County, Georgia",372.5296
"Irwin County, Georgia",26.91743
"Jackson County, Georgia",178.0736
"Jasper County, Georgia",37.75482
"Jeff Davis County, Georgia",45.55842
"Jefferson County, Georgia",32.15667
"Jenkins County, Georgia",24.01526
"Johnson County, Georgia",32.93616
"Jones County, Georgia",72.77634
"Lamar County, Georgia",99.8202
"Lanier County, Georgia",54.39886
"Laurens County, Georgia",59.99537
"Lee County, Georgia",79.53708
"Liberty County, Georgia",129.5485
"Lincoln County, Georgia",38.00748
"Long County, Georgia",36.13349
"Lowndes County, Georgia",220.1984
"Lumpkin County, Georgia",105.912
"McDuffie County, Georgia",84.96438
"McIntosh County, Georgia",33.78043
"Macon County, Georgia",36.79109
"Madison County, Georgia",99.60651
"Marion County, Georgia",23.88503
"Meriwether County, Georgia",43.87667
"Miller County, Georgia",21.68749
"Mitchell County, Georgia",45.88694
"Monroe County, Georgia",66.78487
"Montgomery County, Georgia",38.08813
"Morgan County, Georgia",51.44099
"Murray County, Georgia",115.0417
"Muscogee County, Georgia",877.5317
"Newton County, Georgia",367.2748
"Oconee County, Georgia",178.024
"Oglethorpe County, Georgia",33.9376
"Paulding County, Georgia",455.8468
"Peach County, Georgia",184.3048
"Pickens County, Georgia",126.8264
"Pierce County, Georgia",59.26816
"Pike County, Georgia",82.69404
"Polk County, Georgia",133.6474
"Pulaski County, Georgia",48.22694
"Putnam County, Georgia",61.56588
"Quitman County, Georgia",16.61626
"Rabun County, Georgia",43.99006
"Randolph County, Georgia",18.0251
"Richmond County, Georgia",618.3566
"Rockdale County, Georgia",656.5466
"Schley County, Georgia",30.01694
"Screven County, Georgia",22.62127
"Seminole County, Georgia",37.10898
"Spalding County, Georgia",326.1231
"Stephens County, Georgia",146.1218
"Stewart County, Georgia",13.20593
"Sumter County, Georgia",67.99088
"Talbot County, Georgia",17.54011
"Taliaferro County, Georgia",8.822875
"Tattnall County, Georgia",53.23287
"Taylor County, Georgia",23.64303
"Telfair County, Georgia",37.73124
"Terrell County, Georgia",27.76956
"Thomas County, Georgia",82.11598
"Tift County, Georgia",154.9469
"Toombs County, Georgia",74.78748
"Towns County, Georgia",62.8652
"Treutlen County, Georgia",34.52237
"Troup County, Georgia",161.9467
"Turner County, Georgia",31.29018
"Twiggs County, Georgia",25.17592
"Union County, Georgia",66.33818
"Upson County, Georgia",83.95152
"Walker County, Georgia",154.0304
"Walton County, Georgia",257.2093
"Ware County, Georgia",40.68751
"Warren County, Georgia",20.52072
"Washington County, Georgia",31.22844
"Wayne County, Georgia",46.89948
"Webster County, Georgia",13.38477
"Wheeler County, Georgia",25.11469
"White County, Georgia",112.7774
"Whitfield County, Georgia",353.225
"Wilcox County, Georgia",24.50328
"Wilkes County, Georgia",22.56277
"Wilkinson County, Georgia",21.37901
"Worth County, Georgia",37.98656
"Hawaii County, Hawaii",45.94336
"Honolulu County, Hawaii",1586.713
"Kalawao County, Hawaii",7.505327
"Kauai County, Hawaii",108.219
"Maui County, Hawaii",133.3027
"Ada County, Idaho",372.7666
"Adams County, Idaho",2.916975
"Bannock County, Idaho",74.49632
"Bear Lake County, Idaho",6.140843
"Benewah County, Idaho",11.9557
"Bingham County, Idaho",21.78007
"Blaine County, Idaho",8.085986
"Boise County, Idaho",3.700434
"Bonner County, Idaho",23.56603
"Bonneville County, Idaho",55.85728
"Boundary County, Idaho",8.649175
"Butte County, Idaho",1.295444
"Camas County, Idaho",1.03956
"Canyon County, Idaho",321.6422
"Caribou County, Idaho",3.946953
"Cassia County, Idaho",8.947866
"Clark County, Idaho",0.5566309
"Clearwater County, Idaho",3.565333
"Custer County, Idaho",0.8876352
"Elmore County, Idaho",8.793596
"Franklin County, Idaho",19.26634
"Fremont County, Idaho",7.105887
"Gem County, Idaho",29.80745
"Gooding County, Idaho",21.21341
"Idaho County, Idaho",1.918878
"Jefferson County, Idaho",23.90487
"Jerome County, Idaho",37.4658
"Kootenai County, Idaho",111.3184
"Latah County, Idaho",34.61352
"Lemhi County, Idaho",1.739059
"Lewis County, Idaho",7.980448
"Lincoln County, Idaho",4.334923
"Madison County, Idaho",79.99899
"Minidoka County, Idaho",26.49054
"Nez Perce County, Idaho",46.29805
"Oneida County, Idaho",3.571485
"Owyhee County, Idaho",1.503618
"Payette County, Idaho",55.60295
"Power County, Idaho",5.566698
"Shoshone County, Idaho",4.854231
"Teton County, Idaho",22.62738
"Twin Falls County, Idaho",40.19857
"Valley County, Idaho",2.691216
"Washington County, Idaho",7.018671
"Adams County, Illinois",78.46449
"Alexander County, Illinois",34.97953
"Bond County, Illinois",46.72356
"Boone County, Illinois",192.9507
"Brown County, Illinois",22.69909
"Bureau County, Illinois",40.24942
"Calhoun County, Illinois",20.04927
"Carroll County, Illinois",34.59251
"Cass County, Illinois",36.29945
"Champaign County, Illinois",201.8347
"Christian County, Illinois",49.05711
"Clark County, Illinois",32.57761
"Clay County, Illinois",29.49932
"Clinton County, Illinois",79.65237
"Coles County, Illinois",105.9886
