zip_merge,total_pop,white,black,asian,latino
ZCTA5 02171,18325,10891,328,6150,702
ZCTA5 02176,26864,23798,407,1381,748
ZCTA5 02180,21413,19457,279,683,621
ZCTA5 02184,35409,31051,741,2618,512
ZCTA5 02186,26828,20939,3330,1451,683
ZCTA5 02188,14233,12178,640,927,335
ZCTA5 02189,14350,12485,519,352,561
ZCTA5 02190,16308,14959,194,505,224
ZCTA5 02191,8674,8115,77,289,158
ZCTA5 02199,1218,1126,0,92,0
ZCTA5 02203,0,0,0,0,0
ZCTA5 02210,1658,1519,18,25,40
ZCTA5 02215,23933,17005,686,3923,1743
ZCTA5 02301,60850,25860,23290,1104,6217
ZCTA5 02302,33066,17577,8725,951,3450
ZCTA5 02322,4341,3682,464,40,119
ZCTA5 02324,26508,23440,1299,195,905
ZCTA5 02330,11481,11006,122,0,166
ZCTA5 02332,14978,14590,24,119,166
ZCTA5 02333,13704,13259,47,78,234
ZCTA5 02338,7516,7069,0,0,81
ZCTA5 02339,13813,13247,171,176,107
ZCTA5 02341,10180,9313,223,52,191
ZCTA5 02343,10527,8415,1087,395,397
ZCTA5 02346,22807,21381,455,273,317
ZCTA5 02347,10533,9746,338,82,230
ZCTA5 02351,15841,14830,232,357,280
ZCTA5 02356,13043,11829,439,143,553
ZCTA5 02357,1011,872,32,80,27
ZCTA5 02359,17708,17013,237,144,182
ZCTA5 02360,55865,52312,1074,345,992
ZCTA5 02364,12556,11792,21,314,39
ZCTA5 02366,146,81,30,0,28
ZCTA5 02367,2799,2746,0,0,34
ZCTA5 02368,32089,12373,13379,3808,1672
ZCTA5 02370,17515,16053,742,233,216
ZCTA5 02375,9007,8081,254,204,352
ZCTA5 02379,6896,6281,299,104,61
ZCTA5 02382,14430,13449,283,104,220
ZCTA5 02420,13831,10376,78,2847,269
ZCTA5 02421,17298,12521,256,3450,414
ZCTA5 02445,21110,15637,401,2709,1674
ZCTA5 02446,28601,21400,402,4426,1801
ZCTA5 02451,16662,12035,612,1987,1409
ZCTA5 02452,14318,10050,938,1895,870
ZCTA5 02453,29229,18062,1814,2948,5719
ZCTA5 02457,1278,805,139,174,90
ZCTA5 02458,11048,7994,329,1480,791
ZCTA5 02459,18244,14695,358,2197,426
ZCTA5 02460,9080,7884,108,579,354
ZCTA5 02461,6923,4719,275,1321,383
ZCTA5 02462,1453,1144,3,258,47
ZCTA5 02464,2834,2256,123,312,117
ZCTA5 02465,11759,9555,338,1117,596
ZCTA5 02466,8338,6603,181,1164,324
ZCTA5 02467,21952,16394,616,3845,641
ZCTA5 02468,4897,4204,18,493,160
ZCTA5 02472,32025,27044,745,2033,1619
ZCTA5 02474,26433,22415,401,1796,1092
ZCTA5 02476,16137,13485,495,1355,415
ZCTA5 02478,24473,20287,310,2517,932
ZCTA5 02481,16021,13280,278,1561,651
ZCTA5 02482,10519,8703,94,981,462
ZCTA5 02492,19901,17909,400,823,519
ZCTA5 02493,11229,9298,220,1148,340
ZCTA5 02494,8885,7421,100,918,170
ZCTA5 02532,11698,11308,53,73,140
ZCTA5 02534,895,875,20,0,0
ZCTA5 02535,1267,872,50,0,20
ZCTA5 02536,19864,17487,709,549,314
ZCTA5 02537,6181,5853,34,62,166
ZCTA5 02538,3451,3213,134,0,90
ZCTA5 02539,4034,3908,6,12,3
ZCTA5 02540,8355,7669,107,324,116
ZCTA5 02542,1237,630,96,3,149
ZCTA5 02543,613,581,6,6,20
ZCTA5 02553,275,275,0,0,0
ZCTA5 02554,9914,8105,804,112,597
ZCTA5 02556,2880,2776,15,31,58
ZCTA5 02557,4449,3509,511,109,0
ZCTA5 02558,1363,1233,76,0,0
ZCTA5 02559,3772,3500,44,66,0
ZCTA5 02561,443,443,0,0,0
ZCTA5 02562,3403,3369,0,9,17
ZCTA5 02563,10285,9917,82,53,150
ZCTA5 02564,221,200,5,0,11
ZCTA5 02568,3999,3849,48,0,0
ZCTA5 02571,11535,10240,164,151,87
ZCTA5 02575,2421,2293,67,0,48
ZCTA5 02576,3492,2932,102,125,110
ZCTA5 02584,0,0,0,0,0
ZCTA5 02601,13442,10368,820,267,1127
ZCTA5 02630,1706,1658,14,17,13
ZCTA5 02631,9734,9218,103,19,226
ZCTA5 02632,11491,10648,81,48,281
ZCTA5 02633,4298,3936,239,34,51
ZCTA5 02635,3464,3389,23,13,39
ZCTA5 02637,105,93,0,12,0
ZCTA5 02638,3378,3378,0,0,0
ZCTA5 02639,3368,3233,0,8,60
ZCTA5 02641,532,532,0,0,0
ZCTA5 02642,5011,4781,24,66,117
ZCTA5 02643,9,9,0,0,0
ZCTA5 02644,3934,3831,3,15,69
ZCTA5 02645,9440,8716,115,132,289
ZCTA5 02646,1771,1561,6,149,6
ZCTA5 02647,125,125,0,0,0
ZCTA5 02648,7633,7255,110,0,142
ZCTA5 02649,13900,12902,195,50,75
ZCTA5 02650,884,807,51,7,15
ZCTA5 02651,0,0,0,0,0
ZCTA5 02652,1407,1379,0,17,11
ZCTA5 02653,6001,5809,5,80,52
ZCTA5 02655,3638,3455,47,23,46
ZCTA5 02657,2994,2700,93,0,103
ZCTA5 02659,915,860,14,7,13
ZCTA5 02660,5881,5148,485,8,38
ZCTA5 02663,49,49,0,0,0
ZCTA5 02664,9295,8662,231,56,206
ZCTA5 02666,496,465,0,0,0
ZCTA5 02667,2809,2725,0,0,2
ZCTA5 02668,3414,3207,0,53,99
