"white","W8","dep_soc","dep_soc2","dep_pol","dep_power","dep_econ","wpb2a_UK","wpb3d_UK","vote_campaign","right_wing","age","college","female","own_home","married","soc","soc30","power","power30","pol","pol30","econ","econ30"
1,2.45207333765716,0,0,1,1,1,1,1,1,1,1,0,0,NA,0,1,1,1,0,1,0,1,0
1,1.01056794418489,NA,NA,-2,-3,3,7,1,1,1,1,0,0,NA,0,3,NA,4,7,5,7,6,3
1,1.70049267008194,0,0,2,1,0,4,10,1,1,1,0,0,NA,0,2,2,1,0,5,3,8,8
1,1.33680061041709,0,0,6,5,5,98,1,1,1,1,0,0,NA,0,3,3,10,5,10,4,9,4
1,0.942336549424167,-1,-1,-8,-9,-10,1,1,1,1,1,0,0,NA,0,3,4,1,10,1,9,0,10
1,1.5405002467288,0,1,NA,3,0,1,1,1,1,1,1,0,NA,0,2,2,7,4,6,NA,6,6
0,3.04729058920413,NA,NA,-3,1,0,4,6,2,1,1,0,0,NA,0,2,NA,5,4,3,6,4,4
1,0.917742883569634,1,1,2,8,1,1,1,1,1,1,1,0,NA,0,3,2,10,2,6,4,5,4
1,0.929865699991845,1,1,1,2,2,1,1,1,1,1,0,0,NA,0,3,2,6,4,4,3,7,5
1,1.86040171656253,1,1,5,2,0,2,6,1,1,1,1,0,NA,0,3,2,6,4,7,2,5,5
1,0.490361017039127,NA,NA,0,2,2,3,1,1,1,2,0,0,NA,0,2,NA,3,1,1,1,3,1
1,1.00735167377706,-1,-2,NA,-5,-7,1,1,1,1,1,0,0,NA,0,3,4,1,6,2,NA,1,8
1,1.42965533827402,NA,NA,-3,-3,5,1,1,1,1,1,0,0,NA,0,3,NA,2,5,2,5,8,3
0,1.14316762712657,NA,NA,NA,NA,NA,3,1,0,1,1,1,0,NA,0,3,NA,3,NA,3,NA,5,NA
1,1.59689725508399,-1,-1,NA,NA,NA,1,1,1,1,1,0,0,NA,0,2,3,1,NA,4,NA,3,NA
1,1.93361119770556,2,2,-6,1,0,6,1,1,1,1,1,0,NA,0,3,1,3,2,3,9,2,2
1,1.6989732542035,-1,-1,-10,-1,-4,4,11,0,0,1,0,0,NA,0,1,2,2,3,0,10,4,8
1,2.23864275567926,NA,NA,3,6,1,5,1,1,1,1,0,0,NA,0,NA,NA,8,2,6,3,4,3
0,2.16075063910077,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA
1,1.14456884306705,NA,NA,-3,3,-1,4,10,0,1,1,1,0,NA,0,3,NA,7,4,4,7,4,5
1,0.922489025264101,0,-1,3,3,NA,2,1,0,0,1,0,0,NA,0,3,3,6,3,7,4,5,NA
1,2.68028463186747,0,0,-3,-1,-4,1,1,1,1,1,1,0,NA,0,2,2,2,3,4,7,2,6
1,2.02129440434811,NA,NA,3,0,0,1,4,1,1,1,0,0,NA,0,3,NA,3,3,7,4,6,6
1,1.57277076929215,-1,-1,-2,-5,-3,2,1,1,1,1,0,0,NA,0,1,2,0,5,3,5,2,5
1,1.5052640619731,0,0,-2,NA,NA,99,8,0,0,1,0,0,NA,0,2,2,3,NA,2,4,4,NA
1,0.891478641903192,NA,NA,3,4,NA,1,1,1,1,2,0,0,NA,0,2,NA,9,5,8,5,4,NA
1,1.8313976007192,-2,0,1,1,0,1,1,1,1,1,0,0,NA,0,2,4,1,0,2,1,3,3
1,1.74819783148601,1,1,0,2,2,3,5,1,1,1,1,0,NA,0,3,2,5,3,5,5,6,4
1,1.08427912395981,1,2,-1,1,1,7,1,1,1,1,0,0,NA,0,3,2,1,0,2,3,6,5
1,2.85214959770603,NA,NA,-2,2,0,2,2,1,1,1,1,0,0,0,3,NA,7,5,4,6,5,5
1,1.02643917802313,0,0,-1,0,-1,7,1,1,1,1,1,0,NA,0,2,2,5,5,0,1,1,2
1,1.33943691675168,-1,-1,-3,-2,-3,7,1,1,1,2,1,1,1,0,1,2,2,4,3,6,2,5
1,1.12404150215965,NA,0,NA,0,NA,3,1,1,1,4,1,0,NA,0,NA,3,5,5,NA,NA,NA,NA
1,2.43104556017899,NA,NA,0,-1,0,1,99,1,1,2,0,0,NA,1,2,NA,3,4,3,3,4,4
1,0.736038125226947,NA,NA,NA,NA,NA,2,1,1,1,2,1,1,NA,1,2,NA,5,NA,5,NA,6,NA
1,1.3738956851989,NA,NA,NA,0,0,2,1,1,1,2,0,0,NA,0,3,NA,0,0,NA,NA,3,3
0,0.740933954345268,NA,NA,2,2,1,2,1,3,3,2,1,0,NA,0,1,NA,5,3,5,3,3,2
1,0.793776366136752,NA,NA,NA,NA,NA,2,4,1,1,2,0,1,NA,0,2,NA,5,NA,5,NA,3,NA
1,0.825179726227838,NA,NA,1,3,4,1,1,1,1,2,1,1,NA,1,2,NA,6,3,5,4,7,3
0,1.4147622203366,1,1,6,4,1,1,1,1,1,2,1,0,NA,1,2,1,6,2,6,0,2,1
1,1.39305419944908,-2,1,5,8,-10,1,1,1,1,2,0,0,0,0,1,3,8,0,5,0,0,10
1,0.789692442096219,-1,-1,-5,-1,-6,1,1,1,1,2,1,1,NA,0,1,2,4,5,2,7,0,6
1,1.85182807063881,NA,NA,-1,1,0,2,8,2,1,2,0,0,NA,1,2,NA,5,4,4,5,4,4
1,1.18321034771012,NA,NA,1,4,-2,1,1,1,1,2,1,1,NA,0,3,NA,5,1,6,5,5,7
1,1.41207148585703,0,0,1,1,-8,4,11,2,2,2,0,1,NA,0,3,3,3,2,6,5,1,9
1,1.97182132455403,NA,NA,-1,NA,NA,2,4,1,1,2,0,0,NA,0,2,NA,2,NA,2,3,3,NA
1,1.16476381023034,NA,NA,0,NA,NA,1,1,1,1,2,1,1,NA,0,NA,NA,4,NA,3,3,2,NA
1,0.913141413812658,NA,NA,NA,NA,NA,98,11,1,1,2,0,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA
1,0.773416814434629,NA,NA,2,2,NA,2,1,1,1,2,0,1,NA,1,3,NA,3,1,5,3,4,NA
1,0.996309357556972,-2,-2,1,-1,-2,1,1,1,1,3,0,1,0,0,1,3,1,2,2,1,2,4
1,1.45281306716319,-2,-2,0,0,0,2,1,0,0,2,0,1,NA,1,1,3,1,1,1,1,0,0
1,0.593372072014594,-1,-1,-2,-2,0,2,3,1,1,4,1,0,NA,0,3,4,3,5,6,8,9,9
1,1.26408240321633,-1,-1,-4,-1,-5,98,1,1,1,3,0,0,NA,0,2,3,4,5,1,5,1,6
1,0.862290626878144,NA,NA,-4,-4,-4,5,1,1,1,2,1,1,NA,1,2,NA,4,8,4,8,3,7
1,1.12893302502944,NA,NA,-9,-5,-6,1,1,1,1,3,0,1,NA,1,2,NA,1,6,1,10,1,7
0,1.04407095875119,NA,NA,NA,-2,-2,1,99,1,1,2,0,1,NA,1,1,NA,3,5,NA,NA,2,4
1,1.01303765146082,NA,NA,-1,1,2,2,3,1,1,2,0,0,NA,0,2,NA,8,7,8,9,5,3
1,0.896663190275633,0,0,0,0,1,1,1,1,1,2,1,1,NA,1,2,2,6,6,5,5,6,5
1,0.91530485238263,2,2,8,7,8,1,1,1,1,2,1,0,NA,0,3,1,7,0,8,0,8,0
1,1.3738956851989,NA,NA,-4,-4,2,1,1,1,1,2,1,0,NA,0,3,NA,4,8,3,7,4,2
1,0.791637723238619,NA,NA,0,0,NA,1,1,1,1,2,1,1,NA,1,1,NA,2,2,2,2,3,NA
1,2.3308556932349,NA,NA,NA,NA,NA,99,99,0,0,1,0,1,NA,0,1,NA,NA,NA,3,NA,0,NA
1,1.09928444938309,NA,NA,NA,NA,NA,1,1,2,2,2,0,1,NA,0,NA,NA,NA,NA,0,NA,2,NA
1,0.805085858728668,NA,NA,0,2,-1,3,1,1,1,3,1,0,NA,1,3,NA,3,1,0,0,7,8
1,2.04254806565602,-2,-1,-6,-4,-1,3,8,2,2,1,1,1,NA,0,2,4,3,7,1,7,6,7
1,0.409857411137016,NA,NA,NA,NA,NA,3,5,1,1,3,1,0,NA,0,2,NA,0,NA,4,NA,6,NA
1,0.821228228238927,0,0,0,-1,-1,1,1,1,1,3,1,1,NA,1,3,3,7,8,7,7,2,3
1,1.83715574582707,-1,-1,-4,-1,0,1,1,1,1,1,1,0,NA,0,1,2,0,1,1,5,3,3
1,0.496725957982386,NA,NA,NA,3,4,2,1,1,1,3,1,1,NA,1,2,NA,7,4,5,NA,9,5
1,0.777944402959581,-1,-1,-5,-3,-2,1,4,1,1,2,0,0,NA,0,2,3,2,5,3,8,2,4
1,1.49306232812662,NA,NA,1,0,0,3,5,1,1,2,1,1,NA,0,3,NA,6,6,6,5,6,6
1,1.02504161489717,NA,NA,-3,-3,NA,7,1,1,1,2,1,0,NA,1,2,NA,2,5,2,5,4,NA
1,1.65522490092562,NA,NA,NA,NA,NA,2,7,1,1,1,0,0,NA,0,2,NA,5,NA,5,NA,6,NA
1,1.78468793021311,-1,-1,-1,-1,2,1,1,0,0,2,1,0,NA,0,1,2,1,2,1,2,5,3
1,0.649934300689162,0,0,-4,-6,2,1,1,1,1,2,1,0,NA,1,2,2,1,7,3,7,7,5
1,1.87189337445377,NA,1,-1,-1,-1,7,1,1,1,1,1,1,NA,0,NA,3,6,7,6,7,4,5
1,0.869313750802167,NA,NA,-4,-2,-1,1,1,1,1,3,1,0,NA,1,3,NA,5,7,3,7,6,7
1,1.50712471005535,-1,-1,-2,-4,NA,1,1,1,1,1,1,0,NA,0,2,3,2,6,3,5,4,NA
1,0.776799396960784,0,0,-2,0,3,1,8,1,1,2,1,0,NA,0,1,1,0,0,3,5,4,1
